### RESULTS ###
benchmark: measures IPC service finding overhead
description: measures cycles taken for one process to find a service
run, cycles
0, 6823
1, 6823
2, 6823
3, 6823
4, 6823
5, 6823
6, 6823
7, 6823
8, 6823
9, 6823
10, 6823
11, 6823
12, 6823
13, 6823
14, 6823
15, 6823
16, 6823
17, 6823
18, 6823
19, 6823
20, 6823
21, 6823
22, 6823
23, 6823
24, 6823
25, 6823
26, 6823
27, 6823
28, 6823
29, 6823
30, 6823
31, 6823
32, 6823
33, 6823
34, 6823
35, 6823
36, 6823
37, 6823
38, 6823
39, 6823
40, 6823
41, 6823
42, 6823
43, 6823
44, 6823
45, 6823
46, 6823
47, 6823
48, 6823
49, 6823
50, 6823
51, 6823
52, 6823
53, 6823
54, 6823
55, 6823
56, 6823
57, 6823
58, 6823
59, 6823
60, 6823
61, 6823
62, 6823
63, 6823
64, 6823
65, 6823
66, 6823
67, 6823
68, 6823
69, 6823
70, 6823
71, 6823
72, 6823
73, 6823
74, 6823
75, 6823
76, 6823
77, 6823
78, 6823
79, 6823
80, 6823
81, 6823
82, 6823
83, 6823
84, 6823
85, 6823
86, 6823
87, 6823
88, 6823
89, 6823
90, 6823
91, 6823
92, 6823
93, 6823
94, 6823
95, 6823
96, 6823
97, 6823
98, 6823
99, 6823
benchmark: measures IPC service finding overhead
description: measures instructions taken for one process to find a service
run, instructions
0, 2585
1, 2585
2, 2585
3, 2585
4, 2585
5, 2585
6, 2585
7, 2585
8, 2585
9, 2585
10, 2585
11, 2585
12, 2585
13, 2585
14, 2585
15, 2585
16, 2585
17, 2585
18, 2585
19, 2585
20, 2585
21, 2585
22, 2585
23, 2585
24, 2585
25, 2585
26, 2585
27, 2585
28, 2585
29, 2585
30, 2585
31, 2585
32, 2585
33, 2585
34, 2585
35, 2585
36, 2585
37, 2585
38, 2585
39, 2585
40, 2585
41, 2585
42, 2585
43, 2585
44, 2585
45, 2585
46, 2585
47, 2585
48, 2585
49, 2585
50, 2585
51, 2585
52, 2585
53, 2585
54, 2585
55, 2585
56, 2585
57, 2585
58, 2585
59, 2585
60, 2585
61, 2585
62, 2585
63, 2585
64, 2585
65, 2585
66, 2585
67, 2585
68, 2585
69, 2585
70, 2585
71, 2585
72, 2585
73, 2585
74, 2585
75, 2585
76, 2585
77, 2585
78, 2585
79, 2585
80, 2585
81, 2585
82, 2585
83, 2585
84, 2585
85, 2585
86, 2585
87, 2585
88, 2585
89, 2585
90, 2585
91, 2585
92, 2585
93, 2585
94, 2585
95, 2585
96, 2585
97, 2585
98, 2585
99, 2585
benchmark: measures IPC service finding failure overhead
description: measures cycles taken for one process to fail to find a service
run, cycles
0, 6530
1, 6530
2, 6530
3, 6530
4, 6530
5, 6530
6, 6530
7, 6530
8, 6530
9, 6530
10, 6530
11, 6530
12, 6530
13, 6530
14, 6530
15, 6530
16, 6530
17, 6530
18, 6530
19, 6530
20, 6530
21, 6530
22, 6530
23, 6530
24, 6530
25, 6530
26, 6530
27, 6530
28, 6530
29, 6530
30, 6530
31, 6530
32, 6530
33, 6530
34, 6530
35, 6530
36, 6530
37, 6530
38, 6530
39, 6530
40, 6530
41, 6530
42, 6530
43, 6530
44, 6530
45, 6530
46, 6530
47, 6530
48, 6530
49, 6530
50, 6530
51, 6530
52, 6530
53, 6530
54, 6530
55, 6530
56, 6530
57, 6530
58, 6530
59, 6530
60, 6530
61, 6530
62, 6530
63, 6530
64, 6530
65, 6530
66, 6530
67, 6530
68, 6530
69, 6530
70, 6530
71, 6530
72, 6530
73, 6530
74, 6530
75, 6530
76, 6530
77, 6530
78, 6530
79, 6530
80, 6530
81, 6530
82, 6530
83, 6530
84, 6530
85, 6530
86, 6530
87, 6530
88, 6530
89, 6530
90, 6530
91, 6530
92, 6530
93, 6530
94, 6530
95, 6530
96, 6530
97, 6530
98, 6530
99, 6530
benchmark: measures IPC service finding failure overhead
description: measures instructions taken for one process to fail to find a service
run, instructions
0, 2481
1, 2481
2, 2481
3, 2481
4, 2481
5, 2481
6, 2481
7, 2481
8, 2481
9, 2481
10, 2481
11, 2481
12, 2481
13, 2481
14, 2481
15, 2481
16, 2481
17, 2481
18, 2481
19, 2481
20, 2481
21, 2481
22, 2481
23, 2481
24, 2481
25, 2481
26, 2481
27, 2481
28, 2481
29, 2481
30, 2481
31, 2481
32, 2481
33, 2481
34, 2481
35, 2481
36, 2481
37, 2481
38, 2481
39, 2481
40, 2481
41, 2481
42, 2481
43, 2481
44, 2481
45, 2481
46, 2481
47, 2481
48, 2481
49, 2481
50, 2481
51, 2481
52, 2481
53, 2481
54, 2481
55, 2481
56, 2481
57, 2481
58, 2481
59, 2481
60, 2481
61, 2481
62, 2481
63, 2481
64, 2481
65, 2481
66, 2481
67, 2481
68, 2481
69, 2481
70, 2481
71, 2481
72, 2481
73, 2481
74, 2481
75, 2481
76, 2481
77, 2481
78, 2481
79, 2481
80, 2481
81, 2481
82, 2481
83, 2481
84, 2481
85, 2481
86, 2481
87, 2481
88, 2481
89, 2481
90, 2481
91, 2481
92, 2481
93, 2481
94, 2481
95, 2481
96, 2481
97, 2481
98, 2481
99, 2481
