### RESULTS ###
benchmark:, measures ipc call overhead from server to client
description:, Measures cycles taken for one process to notify the other
run, cycles
0, 26595
1, 26596
2, 26596
3, 26596
4, 26596
5, 26596
6, 26596
7, 26596
8, 26596
9, 26596
10, 26596
11, 26596
12, 26596
13, 26596
14, 26596
15, 26596
16, 26596
17, 26596
18, 26596
19, 26596
20, 26596
21, 26596
22, 26596
23, 26596
24, 26596
25, 26596
26, 26596
27, 26596
28, 26596
29, 26596
30, 26596
31, 26596
32, 26596
33, 26596
34, 26596
35, 26596
36, 26596
37, 26596
38, 26596
39, 26596
40, 26596
41, 26596
42, 26596
43, 26596
44, 26596
45, 26596
46, 26596
47, 26596
48, 26596
49, 26596
50, 26596
51, 26596
52, 26596
53, 26596
54, 26596
55, 26596
56, 26596
57, 26596
58, 26596
59, 26596
60, 26596
61, 26596
62, 26596
63, 26596
64, 26596
65, 26596
66, 26596
67, 26596
68, 26596
69, 26596
70, 26596
71, 26596
72, 26596
73, 26596
74, 26596
75, 26596
76, 26596
77, 26596
78, 26596
79, 26596
80, 26596
81, 26596
82, 26596
83, 26596
84, 26596
85, 26596
86, 26596
87, 26596
88, 26596
89, 26596
90, 26596
91, 26596
92, 26596
93, 26596
94, 26596
95, 26596
96, 26596
97, 26596
98, 26596
99, 26596
100, 26596
101, 26596
102, 26596
103, 26596
104, 26596
105, 26596
106, 26596
107, 26596
108, 26596
109, 26596
110, 26596
111, 26596
112, 26596
113, 26596
114, 26596
115, 26596
116, 26596
117, 26596
118, 26596
119, 26596
120, 26596
121, 26596
122, 26596
123, 26596
124, 26596
125, 26596
126, 26596
127, 26596
128, 26596
129, 26596
130, 26596
131, 26596
132, 26596
133, 26596
134, 26596
135, 26596
136, 26596
137, 26596
138, 26596
139, 26596
140, 26596
141, 26596
142, 26596
143, 26596
144, 26596
145, 26596
146, 26596
147, 26596
148, 26596
149, 26596
150, 26596
151, 26596
152, 26596
153, 26596
154, 26596
155, 26596
156, 26596
157, 26596
158, 26596
159, 26596
160, 26596
161, 26596
162, 26596
163, 26596
164, 26596
165, 26596
166, 26596
167, 26596
168, 26596
169, 26596
170, 26596
171, 26596
172, 26596
173, 26596
174, 26596
175, 26596
176, 26596
177, 26596
178, 26596
179, 26596
180, 26596
181, 26596
182, 26596
183, 26596
184, 26596
185, 26596
186, 26596
187, 26596
188, 26596
189, 26596
190, 26596
191, 26596
192, 26596
193, 26596
194, 26596
195, 26596
196, 26596
197, 26596
198, 26596
199, 26596
200, 26596
201, 26596
202, 26596
203, 26596
204, 26596
205, 26596
206, 26596
207, 26596
208, 26596
209, 26596
210, 26596
211, 26596
212, 26596
213, 26596
214, 26596
215, 26596
216, 26596
217, 26596
218, 26596
219, 26596
220, 26596
221, 26596
222, 26596
223, 26596
224, 26596
225, 26596
226, 26596
227, 26596
228, 26596
229, 26596
230, 26596
231, 26596
232, 26596
233, 26596
234, 26596
235, 26596
236, 26596
237, 26596
238, 26596
239, 26596
240, 26596
241, 26596
242, 26596
243, 26596
244, 26596
245, 26596
246, 26596
247, 26596
248, 26596
249, 26596
250, 26596
251, 26596
252, 26596
253, 26596
254, 26596
255, 26596
256, 26596
257, 26596
258, 26596
259, 26596
260, 26596
261, 26596
262, 26596
263, 26596
264, 26596
265, 26596
266, 26596
267, 26596
268, 26596
269, 26596
270, 26596
271, 26596
272, 26596
273, 26596
274, 26596
275, 26596
276, 26596
277, 26596
278, 26596
279, 26596
280, 26596
281, 26596
282, 26596
283, 26596
284, 26596
285, 26596
286, 26596
287, 26596
288, 26596
289, 26596
290, 26596
291, 26596
292, 26596
293, 26596
294, 26596
295, 26596
296, 26596
297, 26596
298, 26596
299, 26596
300, 26596
301, 26596
302, 26596
303, 26596
304, 26596
305, 26596
306, 26596
307, 26596
308, 26596
309, 26596
310, 26596
311, 26596
312, 26596
313, 26596
314, 26596
315, 26596
316, 26596
317, 26596
318, 26596
319, 26596
320, 26596
321, 26596
322, 26596
323, 26596
324, 26596
325, 26596
326, 26596
327, 26596
328, 26596
329, 26596
330, 26596
331, 26596
332, 26596
333, 26596
334, 26596
335, 26596
336, 26596
337, 26596
338, 26596
339, 26596
340, 26596
341, 26596
342, 26596
343, 26596
344, 26596
345, 26596
346, 26596
347, 26596
348, 26596
349, 26596
350, 26596
351, 26596
352, 26596
353, 26596
354, 26596
355, 26596
356, 26596
357, 26596
358, 26596
359, 26596
360, 26596
361, 26596
362, 26596
363, 26596
364, 26596
365, 26596
366, 26596
367, 26596
368, 26596
369, 26596
370, 26596
371, 26596
372, 26596
373, 26596
374, 26596
375, 26596
376, 26596
377, 26596
378, 26596
379, 26596
380, 26596
381, 26596
382, 26596
383, 26596
384, 26596
385, 26596
386, 26596
387, 26596
388, 26596
389, 26596
390, 26596
391, 26596
392, 26596
393, 26596
394, 26596
395, 26596
396, 26596
397, 26596
398, 26596
399, 26596
400, 26596
401, 26596
402, 26596
403, 26596
404, 26596
405, 26596
406, 26596
407, 26596
408, 26596
409, 26596
410, 26596
411, 26596
412, 26596
413, 26596
414, 26596
415, 26596
416, 26596
417, 26596
418, 26596
419, 26596
420, 26596
421, 26596
422, 26596
423, 26596
424, 26596
425, 26596
426, 26596
427, 26596
428, 26596
429, 26596
430, 26596
431, 26596
432, 26596
433, 26596
434, 26596
435, 26596
436, 26596
437, 26596
438, 26596
439, 26596
440, 26596
441, 26596
442, 26596
443, 26596
444, 26596
445, 26596
446, 26596
447, 26596
448, 26596
449, 26596
450, 26596
451, 26596
452, 26596
453, 26596
454, 26596
455, 26596
456, 26596
457, 26596
458, 26596
459, 26596
460, 26596
461, 26596
462, 26596
463, 26596
464, 26596
465, 26596
466, 26596
467, 26596
468, 26596
469, 26596
470, 26596
471, 26596
472, 26596
473, 26596
474, 26596
475, 26596
476, 26596
477, 26596
478, 26596
479, 26596
480, 26596
481, 26596
482, 26596
483, 26596
484, 26596
485, 26596
486, 26596
487, 26596
488, 26596
489, 26596
490, 26596
491, 26596
492, 26596
493, 26596
494, 26596
495, 26596
496, 26596
497, 26596
498, 26596
499, 26596
500, 26596
501, 26596
502, 26596
503, 26596
504, 26596
505, 26596
506, 26596
507, 26596
508, 26596
509, 26596
510, 26596
511, 26596
512, 26596
513, 26596
514, 26596
515, 26596
516, 26596
517, 26596
518, 26596
519, 26596
520, 26596
521, 26596
522, 26596
523, 26596
524, 26596
525, 26596
526, 26596
527, 26596
528, 26596
529, 26596
530, 26596
531, 26596
532, 26596
533, 26596
534, 26596
535, 26596
536, 26596
537, 26596
538, 26596
539, 26596
540, 26596
541, 26596
542, 26596
543, 26596
544, 26596
545, 26596
546, 26596
547, 26596
548, 26596
549, 26596
550, 26596
551, 26596
552, 26596
553, 26596
554, 26596
555, 26596
556, 26596
