### RESULTS ###
benchmark: setbrk_overhead
description: changes the heap break which requires an MPU update
run, cycles, break, break_decimal
0, 6510, 0x10009008, 268472328
1, 6510, 0x10009010, 268472336
2, 6510, 0x10009018, 268472344
3, 6510, 0x10009020, 268472352
4, 6510, 0x10009028, 268472360
5, 6510, 0x10009030, 268472368
6, 6510, 0x10009038, 268472376
7, 6510, 0x10009040, 268472384
8, 6510, 0x10009048, 268472392
9, 6510, 0x10009050, 268472400
10, 6510, 0x10009058, 268472408
11, 6510, 0x10009060, 268472416
12, 6510, 0x10009068, 268472424
13, 6510, 0x10009070, 268472432
14, 6510, 0x10009078, 268472440
15, 6510, 0x10009080, 268472448
16, 6510, 0x10009088, 268472456
17, 6510, 0x10009090, 268472464
18, 6510, 0x10009098, 268472472
19, 6510, 0x100090a0, 268472480
20, 6510, 0x100090a8, 268472488
21, 6510, 0x100090b0, 268472496
22, 6510, 0x100090b8, 268472504
23, 6510, 0x100090c0, 268472512
24, 6510, 0x100090c8, 268472520
25, 6510, 0x100090d0, 268472528
26, 6510, 0x100090d8, 268472536
27, 6510, 0x100090e0, 268472544
28, 6510, 0x100090e8, 268472552
29, 6510, 0x100090f0, 268472560
30, 6510, 0x100090f8, 268472568
31, 6510, 0x10009100, 268472576
32, 6510, 0x10009108, 268472584
33, 6510, 0x10009110, 268472592
34, 6510, 0x10009118, 268472600
35, 6510, 0x10009120, 268472608
36, 6510, 0x10009128, 268472616
37, 6510, 0x10009130, 268472624
38, 6510, 0x10009138, 268472632
39, 6510, 0x10009140, 268472640
40, 6510, 0x10009148, 268472648
41, 6510, 0x10009150, 268472656
42, 6510, 0x10009158, 268472664
43, 6510, 0x10009160, 268472672
44, 6510, 0x10009168, 268472680
45, 6510, 0x10009170, 268472688
46, 6510, 0x10009178, 268472696
47, 6510, 0x10009180, 268472704
48, 6510, 0x10009188, 268472712
49, 6510, 0x10009190, 268472720
50, 6510, 0x10009198, 268472728
51, 6510, 0x100091a0, 268472736
52, 6510, 0x100091a8, 268472744
53, 6510, 0x100091b0, 268472752
54, 6510, 0x100091b8, 268472760
55, 6510, 0x100091c0, 268472768
56, 6510, 0x100091c8, 268472776
57, 6510, 0x100091d0, 268472784
58, 6510, 0x100091d8, 268472792
59, 6510, 0x100091e0, 268472800
60, 6510, 0x100091e8, 268472808
61, 6510, 0x100091f0, 268472816
62, 6510, 0x100091f8, 268472824
63, 6510, 0x10009200, 268472832
64, 6510, 0x10009208, 268472840
65, 6510, 0x10009210, 268472848
66, 6510, 0x10009218, 268472856
67, 6510, 0x10009220, 268472864
68, 6510, 0x10009228, 268472872
69, 6510, 0x10009230, 268472880
70, 6510, 0x10009238, 268472888
71, 6510, 0x10009240, 268472896
72, 6510, 0x10009248, 268472904
73, 6510, 0x10009250, 268472912
74, 6510, 0x10009258, 268472920
75, 6510, 0x10009260, 268472928
76, 6510, 0x10009268, 268472936
77, 6510, 0x10009270, 268472944
78, 6510, 0x10009278, 268472952
79, 6510, 0x10009280, 268472960
80, 6510, 0x10009288, 268472968
81, 6510, 0x10009290, 268472976
82, 6510, 0x10009298, 268472984
83, 6510, 0x100092a0, 268472992
84, 6510, 0x100092a8, 268473000
85, 6510, 0x100092b0, 268473008
86, 6510, 0x100092b8, 268473016
87, 6510, 0x100092c0, 268473024
88, 6510, 0x100092c8, 268473032
89, 6510, 0x100092d0, 268473040
90, 6510, 0x100092d8, 268473048
91, 6510, 0x100092e0, 268473056
92, 6510, 0x100092e8, 268473064
93, 6510, 0x100092f0, 268473072
94, 6510, 0x100092f8, 268473080
95, 6510, 0x10009300, 268473088
96, 6510, 0x10009308, 268473096
97, 6510, 0x10009310, 268473104
98, 6510, 0x10009318, 268473112
99, 6510, 0x10009320, 268473120
100, 6510, 0x10009328, 268473128
101, 6510, 0x10009330, 268473136
102, 6510, 0x10009338, 268473144
103, 6510, 0x10009340, 268473152
104, 6510, 0x10009348, 268473160
105, 6510, 0x10009350, 268473168
106, 6510, 0x10009358, 268473176
107, 6510, 0x10009360, 268473184
108, 6510, 0x10009368, 268473192
109, 6510, 0x10009370, 268473200
110, 6510, 0x10009378, 268473208
111, 6510, 0x10009380, 268473216
112, 6510, 0x10009388, 268473224
113, 6510, 0x10009390, 268473232
114, 6510, 0x10009398, 268473240
115, 6510, 0x100093a0, 268473248
116, 6510, 0x100093a8, 268473256
117, 6510, 0x100093b0, 268473264
118, 6510, 0x100093b8, 268473272
119, 6510, 0x100093c0, 268473280
120, 6510, 0x100093c8, 268473288
121, 6510, 0x100093d0, 268473296
122, 6510, 0x100093d8, 268473304
123, 6510, 0x100093e0, 268473312
124, 6510, 0x100093e8, 268473320
125, 6510, 0x100093f0, 268473328
126, 6510, 0x100093f8, 268473336
127, 6510, 0x10009400, 268473344
128, 6510, 0x10009408, 268473352
129, 6510, 0x10009410, 268473360
